
                                                  *****************************
                                                  *  TOTAL    RUN    SUMMARY  *
                                                  *****************************

     TIME STEP              PRODUCTION                   INJECTION     PV WT AQUIFER INFLUX      CUM PRODUCTION       CUM INJECTION
    ---------- ------------------------------------- ----------------   AVG  -------------- ------------------------ ---------------
                  OIL     GAS     WATER    GOR   WATER   GAS   WATER    RES   RATE    CUM     OIL     GAS    WATER    GAS    WATER
                                         SCF/  /OIL                    PRES
     NO.  DAYS   STB/D  MSCF/D   STB/D   STB   RATIO  MSCF/D   STB/D   PSIA  MSTB/D  MMSTB    MSTB   MMSCF   MSTB    MMSCF   MSTB
    178  1859.     809.    949.     1.0  1174.   0.0       0.      0.  5529.    0.0      0.   4277.   3862.      3.      0.      0.
    179  1874.     776.    925.     1.0  1193.   0.0       0.      0.  5529.    0.0      0.   4289.   3876.      3.      0.      0.
    180  1889.     761.    917.     1.0  1204.   0.0       0.      0.  5529.    0.0      0.   4300.   3889.      3.      0.      0.
    181  1904.     750.    910.     1.0  1213.   0.0       0.      0.  5529.    0.0      0.   4311.   3903.      3.      0.      0.
    182  1919.     741.    904.     1.0  1220.   0.0       0.      0.  5528.    0.0      0.   4322.   3917.      3.      0.      0.
    183  1934.     734.    899.     1.0  1226.   0.0       0.      0.  5528.    0.0      0.   4333.   3930.      3.      0.      0.
    184  1949.     727.    895.     1.0  1230.   0.0       0.      0.  5528.    0.0      0.   4344.   3944.      3.      0.      0.
    185  1964.     722.    891.     1.0  1234.   0.0       0.      0.  5528.    0.0      0.   4355.   3957.      3.      0.      0.
    186  1979.     717.    888.     1.0  1238.   0.0       0.      0.  5528.    0.0      0.   4366.   3970.      3.      0.      0.
    187  1994.     713.    885.     1.0  1240.   0.0       0.      0.  5528.    0.0      0.   4377.   3984.      3.      0.      0.
    188  2009.     710.    882.     1.0  1242.   0.0       0.      0.  5527.    0.0      0.   4387.   3997.      3.      0.      0.
    189  2024.     708.    879.     1.0  1243.   0.0       0.      0.  5527.    0.0      0.   4398.   4010.      3.      0.      0.
    190  2039.     705.    877.     1.0  1243.   0.0       0.      0.  5527.    0.0      0.   4408.   4023.      3.      0.      0.
    191  2054.     703.    874.     1.0  1243.   0.0       0.      0.  5527.    0.0      0.   4419.   4036.      3.      0.      0.
    192  2069.     701.    871.     1.0  1243.   0.0       0.      0.  5527.    0.0      0.   4430.   4049.      3.      0.      0.
    193  2084.     699.    869.     1.0  1242.   0.0       0.      0.  5526.    0.0      0.   4440.   4062.      3.      0.      0.
    194  2099.     697.    866.     1.0  1242.   0.0       0.      0.  5526.    0.0      0.   4451.   4075.      3.      0.      0.
    195  2114.     696.    864.     1.0  1241.   0.0       0.      0.  5526.    0.0      0.   4461.   4088.      3.      0.      0.
    196  2129.     694.    861.     1.0  1241.   0.0       0.      0.  5526.    0.0      0.   4471.   4101.      3.      0.      0.
    197  2144.     692.    858.     1.0  1240.   0.0       0.      0.  5526.    0.0      0.   4482.   4114.      3.      0.      0.
    198  2159.     690.    856.     1.0  1240.   0.0       0.      0.  5526.    0.0      0.   4492.   4127.      3.      0.      0.
    199  2174.     689.    853.     1.0  1239.   0.0       0.      0.  5525.    0.0      0.   4502.   4140.      3.      0.      0.
    200  2189.     687.    851.     1.0  1238.   0.0       0.      0.  5525.    0.0      0.   4513.   4152.      3.      0.      0.
    201  2190.     687.    850.     1.0  1238.   0.0       0.      0.  5525.    0.0      0.   4514.   4153.      3.      0.      0.
    202  2192.     687.    850.     1.0  1238.   0.0       0.      0.  5525.    0.0      0.   4515.   4155.      3.      0.      0.
    203  2195.     683.    847.     1.0  1241.   0.0       0.      0.  5525.    0.0      0.   4517.   4157.      3.      0.      0.
    204  2199.     678.    843.     1.0  1244.   0.0       0.      0.  5525.    0.0      0.   4520.   4161.      3.      0.      0.
